id,site,d13C,d15N
2022.F.VG.IDLE.01,Tierra del Fuego,-19.3,14.1
2022.F.VG.IDLE.02,Tierra del Fuego,-17.5,13
2022.F.VG.IDLE.03,Tierra del Fuego,-21.2,11.1
2022.F.VG.IDLE.04,Tierra del Fuego,-21.2,12.2
2022.F.VG.IDLE.05,Tierra del Fuego,-23.6,10.5
2022.F.VG.IDLE.06,Tierra del Fuego,-23.2,8.9
VG IDLE 01,Tierra del Fuego,-22.8,11.2
VG IDLE 02,Tierra del Fuego,-16.6,17.8
VG MITRE 03,Tierra del Fuego,-24.6,9
VG MITRE 04,Tierra del Fuego,-23.8,10.3
VG MITRE 06,Tierra del Fuego,-22.4,11
VG MITRE 08,Tierra del Fuego,-22.8,11.6
VG MITRE 09,Tierra del Fuego,-23.8,8.8
VG MITRE 10,Tierra del Fuego,-23,11.6
VG MITRE 11,Tierra del Fuego,-23.6,9.8
VG MITRE 12,Tierra del Fuego,-24.4,10.2
VG MITRE 13,Tierra del Fuego,-18.6,15.8
VG MITRE 14,Tierra del Fuego,-24.3,9.2
VG MITRE 15,Tierra del Fuego,-23.5,10.3
VG MITRE 16,Tierra del Fuego,-25.1,8.9
VG MITRE 17,Tierra del Fuego,-25,10
VG MITRE 18,Tierra del Fuego,-15.7,18.6
VG VICTORA,Tierra del Fuego,-24.8,9.6
TF-K 2019 1,Tierra del Fuego,-20.6,13.7
TF-K 2019 2,Tierra del Fuego,-25,9.7
TF-K 2019 3,Tierra del Fuego,-25.1,8.9
TF-K 2019 4,Tierra del Fuego,-25.2,8.3
TF-K 2019 5,Tierra del Fuego,-25.3,10.4
TF-K 2019 6,Tierra del Fuego,-18.4,14.2
TF-K 2019 7,Tierra del Fuego,-24.4,9.9
TF-K 2019 8,Tierra del Fuego,-18,14.6
TF-K 2019 9,Tierra del Fuego,-18.7,13.9
TF-K 2019 10,Tierra del Fuego,-25.4,10.6
TF-K 2019 11,Tierra del Fuego,-25.6,8
