Location,Spp,FG,d13C,d15N
cordoba,condor,condor,-18.137,9.305
cordoba,condor,condor,-16.96,10.02
cordoba,condor,condor,-17.473,8.559
cordoba,condor,condor,-17.162,8.628
cordoba,condor,condor,-19.335,10.377
cordoba,condor,condor,-16.044,9.659
cordoba,condor,condor,-19.277,9.093
cordoba,condor,condor,-20.207,9.418
cordoba,condor,condor,-19.491,8.777
cordoba,condor,condor,-17.798,9.671
cordoba,condor,condor,-16.811,14.042
cordoba,condor,condor,-17.613,8.99
cordoba,condor,condor,-18.299,9.696
cordoba,condor,condor,-21.946,10.159
cordoba,condor,condor,-22.645,7.905
cordoba,condor,condor,-18.868,10.297
cordoba,condor,condor,-19.26,9.951
cordoba,condor,condor,-21.668,10.266
cordoba,Equus ferus,terrestrial,-25.24,6.179
cordoba,Equus ferus,terrestrial,-24.617,4.493
cordoba,Equus ferus,terrestrial,-24.459,4.115
cordoba,Equus ferus,terrestrial,-26.181,6.832
cordoba,Equus ferus,terrestrial,-22.355,5.616
cordoba,Equus ferus,terrestrial,-24.554,4.276
cordoba,Equus ferus,terrestrial,-23.474,3.06
cordoba,Equus ferus,terrestrial,-22.45,2.198
cordoba,Capra aegagrus,terrestrial,-23.498,10.24
cordoba,Capra aegagrus,terrestrial,-23.807,9.788
cordoba,Capra aegagrus,terrestrial,-23.359,9.502
cordoba,Lama glama,terrestrial,-25.822,9.194
cordoba,Lama glama,terrestrial,-25.89,9.367
cordoba,Lama glama,terrestrial,-25.878,9.17
cordoba,Ovis aries,terrestrial,-17.56,4.79
cordoba,Ovis aries,terrestrial,-25.485,9.72
cordoba,Ovis aries,terrestrial,-25.32,9.792
cordoba,Ovis aries,terrestrial,-25.445,9.64
cordoba,Ovis aries,terrestrial,-25.238,3.058
cordoba,Ovis aries,terrestrial,-25.501,10.192
cordoba,Ovis aries,terrestrial,-25.116,9.594
cordoba,Ovis aries,terrestrial,-26.01,9.899
cordoba,Ovis aries,terrestrial,-25.488,4.334
cordoba,Ovis aries,terrestrial,-20.56,6.709
cordoba,Ovis aries,terrestrial,-22.176,9.74
cordoba,Ovis aries,terrestrial,-20.82,10.455
cordoba,Ovis aries,terrestrial,-20.344,10.605
cordoba,Ovis aries,terrestrial,-21.691,12.769
cordoba,Bos taurus,terrestrial,-17.371,3.124
cordoba,Bos taurus,terrestrial,-17.004,2.715
cordoba,Bos taurus,terrestrial,-25.141,1.948
cordoba,Bos taurus,terrestrial,-26.055,4.841
cordoba,Bos taurus,terrestrial,-25.776,1.508
cordoba,Bos taurus,terrestrial,-25.205,5.466
cordoba,Bos taurus,terrestrial,-25.369,5.468
cordoba,Bos taurus,terrestrial,-25.989,5.143
cordoba,Bos taurus,terrestrial,-25.687,8.136
cordoba,Bos taurus,terrestrial,-26.006,7.28
cordoba,Bos taurus,terrestrial,-26.001,6.484
cordoba,Bos taurus,terrestrial,-24.933,1.927
cordoba,Bos taurus,terrestrial,-21.857,4.848
cordoba,Bos taurus,terrestrial,-19.439,4.078
cordoba,Bos taurus,terrestrial,-16.294,8.57
cordoba,Bos taurus,terrestrial,-18.769,9.565
cordoba,Bos taurus,terrestrial,-16.649,9.564
