Location,Spp,FG,d13C,d15N
idle,condor_marine,condor_marine,-19.3,14.1
idle,condor_marine,condor_marine,-17.5,13
idle,condor_marine,condor_marine,-21.2,11.1
idle,condor_marine,condor_marine,-21.2,12.2
idle,condor_marine,condor_marine,-16.6,17.8
mitre,condor_marine,condor_marine,-18.6,15.8
mitre,condor_marine,condor_marine,-15.7,18.6
karukinka,condor_marine,condor_marine,-20.6,13.7
karukinka,condor_marine,condor_marine,-18.4,14.2
karukinka,condor_marine,condor_marine,-18,14.6
karukinka,condor_marine,condor_marine,-18.7,13.9
karukinka,condor_marine,condor_marine,-17.6,17.1
idle,condor_terrestrial,condor_terrestrial,-23.6,10.5
idle,condor_terrestrial,condor_terrestrial,-23.2,8.9
idle,condor_terrestrial,condor_terrestrial,-22.8,11.2
mitre,condor_terrestrial,condor_terrestrial,-24.6,9
mitre,condor_terrestrial,condor_terrestrial,-23.8,10.3
mitre,condor_terrestrial,condor_terrestrial,-22.4,11
mitre,condor_terrestrial,condor_terrestrial,-22.8,11.6
mitre,condor_terrestrial,condor_terrestrial,-23.8,8.8
mitre,condor_terrestrial,condor_terrestrial,-23,11.6
mitre,condor_terrestrial,condor_terrestrial,-23.6,9.8
mitre,condor_terrestrial,condor_terrestrial,-24.4,10.2
mitre,condor_terrestrial,condor_terrestrial,-24.3,9.2
mitre,condor_terrestrial,condor_terrestrial,-23.5,10.3
mitre,condor_terrestrial,condor_terrestrial,-25.1,8.9
mitre,condor_terrestrial,condor_terrestrial,-25,10
centro,condor_terrestrial,condor_terrestrial,-24.8,9.6
karukinka,condor_terrestrial,condor_terrestrial,-25,9.7
karukinka,condor_terrestrial,condor_terrestrial,-25.1,8.9
karukinka,condor_terrestrial,condor_terrestrial,-25.2,8.3
karukinka,condor_terrestrial,condor_terrestrial,-25.3,10.4
karukinka,condor_terrestrial,condor_terrestrial,-24.4,9.9
karukinka,condor_terrestrial,condor_terrestrial,-25.4,10.6
karukinka,condor_terrestrial,condor_terrestrial,-25.6,8
karukinka,condor_terrestrial,condor_terrestrial,-24.8,8.9
karukinka,condor_terrestrial,condor_terrestrial,-23.1,10.7
karukinka,condor_terrestrial,condor_terrestrial,-25.3,8.4
karukinka,condor_terrestrial,condor_terrestrial,-25.8,9
karukinka,condor_terrestrial,condor_terrestrial,-25.7,8.2
karukinka,condor_terrestrial,condor_terrestrial,-24.6,8.7
karukinka,condor_terrestrial,condor_terrestrial,-24.7,9.7
karukinka,condor_terrestrial,condor_terrestrial,-23.7,10.8
Fuego,Cervus elaphus,terrestrial,-28.18565855,20.01030212
Fuego,Cervus elaphus,terrestrial,-20.10946736,5.020408904
Fuego,Cervus elaphus,terrestrial,-27.69205795,7.741315014
Fuego,Cervus elaphus,terrestrial,-28.65845712,5.014596259
Fuego,Cervus elaphus,terrestrial,-26.49869098,20.11623635
Fuego,Capra aegagrus,terrestrial,-27.87691479,19.40900059
Fuego,Cervus elaphus,terrestrial,-28.3817911,15.58755124
Fuego,Cervus elaphus,terrestrial,-26.91214157,17.1365985
Fuego,Cervus elaphus,terrestrial,-28.99028143,15.07517276
