Location,Spp,FG,d13C,d15N
payunia,condor,condor,-23.251,9.85
payunia,condor,condor,-22.392,9.556
payunia,condor,condor,-22.798,9.296
payunia,condor,condor,-22.513,9.994
payunia,condor,condor,-19.646,9.747
payunia,condor,condor,-21.89,9.373
payunia,condor,condor,-17.222,10.507
payunia,condor,condor,-23.088,9.495
payunia,condor,condor,-21.547,8.086
payunia,condor,condor,-22.349,8.661
payunia,condor,condor,-21.681,9.396
payunia,condor,condor,-21.285,9.078
payunia,condor,condor,-23.137,9.604
payunia,condor,condor,-18.695,8.045
payunia,condor,condor,-19.696,11.984
payunia,condor,condor,-19.368,11.356
payunia,condor,condor,-19.45,12.158
payunia,condor,condor,-17.727,11.532
payunia,condor,condor,-20.707,9.318
payunia,condor,condor,-21.048,9.749
payunia,condor,condor,-24.161,9.412
payunia,condor,condor,-21.769,9.983
payunia,condor,condor,-21.705,8.965
payunia,condor,condor,-22.041,8.86
payunia,condor,condor,-21.95,9.017
payunia,condor,condor,-21.749,8.993
payunia,condor,condor,-21.565,7.689
payunia,condor,condor,-21.676,8.162
payunia,condor,condor,-20.319,7.947
payunia,condor,condor,-20.982,7.782
payunia,condor,condor,-23.681,9.544
payunia,condor,condor,-22.474,8.848
payunia,Equus ferus,terrestrial,-24.114,4.208
payunia,Equus ferus,terrestrial,-23.6,4.212
payunia,Equus ferus,terrestrial,-18.868,3.814
payunia,Equus ferus,terrestrial,-18.242,4.294
payunia,Equus ferus,terrestrial,-21.171,3.45
payunia,Equus ferus,terrestrial,-21.813,2.723
payunia,Equus ferus,terrestrial,-22.045,1.984
payunia,Equus ferus,terrestrial,-22.81,2.499
payunia,Capra aegagrus,terrestrial,-20.326,5.687
payunia,Capra aegagrus,terrestrial,-23.609,7.031
payunia,Capra aegagrus,terrestrial,-22.302,5.588
payunia,Capra aegagrus,terrestrial,-17.826,3.45
payunia,Capra aegagrus,terrestrial,-17.146,3.17
payunia,Capra aegagrus,terrestrial,-20.387,2.313
payunia,Capra aegagrus,terrestrial,-16.502,2.567
payunia,Capra aegagrus,terrestrial,-17.775,3.433
payunia,Capra aegagrus,terrestrial,-21.316,8.138
payunia,Lama guanicoe,terrestrial,-15.66,3.966
payunia,Lama guanicoe,terrestrial,-15.934,4.716
payunia,Lama guanicoe,terrestrial,-18.116,4.819
payunia,Lama guanicoe,terrestrial,-16.473,3.766
payunia,Lama guanicoe,terrestrial,-16.727,4.614
payunia,Lama guanicoe,terrestrial,-14.941,3.58
payunia,Lama guanicoe,terrestrial,-19.738,3.482
payunia,Lama guanicoe,terrestrial,-18.372,2.862
payunia,Lama guanicoe,terrestrial,-18.857,4.926
payunia,Lepus europaeus,terrestrial,-23.924,2.236
payunia,Lepus europaeus,terrestrial,-21.675,2.226
payunia,Lepus europaeus,terrestrial,-26.505,3.646
payunia,Ovis aries,terrestrial,-16.931,6.948
payunia,Ovis aries,terrestrial,-22.389,6.32
payunia,Ovis aries,terrestrial,-21.794,6.476
payunia,Ovis aries,terrestrial,-22.49,5.511
payunia,Ovis aries,terrestrial,-23.531,6.084
payunia,Ovis aries,terrestrial,-22.114,5.408
payunia,Ovis aries,terrestrial,-23.923,5.663
payunia,Ovis aries,terrestrial,-18.383,3.677
payunia,Ovis aries,terrestrial,-15.369,4.51
payunia,Bos taurus,terrestrial,-20.402,3.418
payunia,Bos taurus,terrestrial,-16.012,4.552
payunia,Bos taurus,terrestrial,-17.809,3.6
payunia,Bos taurus,terrestrial,-13.807,6.698
payunia,Bos taurus,terrestrial,-17.679,7.18
payunia,Bos taurus,terrestrial,-15.806,4.17
payunia,Bos taurus,terrestrial,-14.782,4.134
payunia,Bos taurus,terrestrial,-17.206,4.384
payunia,Bos taurus,terrestrial,-15.329,3.621
payunia,Bos taurus,terrestrial,-14.184,5.592
payunia,Bos taurus,terrestrial,-12.983,4.135
