Location,Spp,FG,d13C,d15N
san_guillermo,condor,condor,-19.829,11.374
san_guillermo,condor,condor,-19.085,9.562
san_guillermo,condor,condor,-19.568,10.023
san_guillermo,condor,condor,-20.206,9.658
san_guillermo,condor,condor,-20.637,7.081
san_guillermo,condor,condor,-19.754,10.851
san_guillermo,condor,condor,-20.176,11.842
san_guillermo,condor,condor,-19.414,11.147
san_guillermo,condor,condor,-18.4,10.964
san_guillermo,condor,condor,-21.027,9.672
san_guillermo,condor,condor,-20.622,9.611
san_guillermo,condor,condor,-21.556,11.127
san_guillermo,condor,condor,-21.453,11.426
san_guillermo,condor,condor,-21.527,10.795
san_guillermo,condor,condor,-22.041,9.796
san_guillermo,condor,condor,-21.285,11.495
san_guillermo,condor,condor,-22.233,10.07
san_guillermo,condor,condor,-21.04,11.352
san_guillermo,condor,condor,-21.004,10.829
san_guillermo,condor,condor,-20.982,8.981
san_guillermo,condor,condor,-21.114,9.802
san_guillermo,condor,condor,-21.784,10.643
san_guillermo,condor,condor,-21.535,11.029
san_guillermo,condor,condor,-21.006,11.194
san_guillermo,condor,condor,-20.713,10.522
san_guillermo,condor,condor,-20.774,7.881
san_guillermo,condor,condor,-19.878,8.533
san_guillermo,condor,condor,-20.705,9.509
san_guillermo,condor,condor,-21.172,10.719
san_guillermo,condor,condor,-20.897,10.487
san_guillermo,condor,condor,-21.603,10.408
san_guillermo,condor,condor,-19.665,8.406
san_guillermo,condor,condor,-18.988,9.551
san_guillermo,condor,condor,-18.297,9.667
san_guillermo,condor,condor,-16.831,9.174
san_guillermo,condor,condor,-21.208,7.939
san_guillermo,condor,condor,-20.557,8.684
san_guillermo,condor,condor,-20.54,10.436
san_guillermo,condor,condor,-20.923,8.989
san_guillermo,condor,condor,-20.451,9.716
san_guillermo,condor,condor,-20.644,10.316
san_guillermo,condor,condor,-20.546,9.312
san_guillermo,condor,condor,-20.1,9.38
san_guillermo,condor,condor,-19.388,9.136
san_guillermo,condor,condor,-20.892,9.855
san_guillermo,condor,condor,-20.575,9.673
san_guillermo,condor,condor,-20.468,10.113
san_guillermo,condor,condor,-20.349,9.733
san_guillermo,condor,condor,-21.258,11.306
san_guillermo,condor,condor,-21.483,10.904
san_guillermo,condor,condor,-21.457,9.894
san_guillermo,condor,condor,-21.789,10.292
san_guillermo,condor,condor,-22.232,10.153
san_guillermo,condor,condor,-19.929,10.195
san_guillermo,condor,condor,-21.567,10.9
san_guillermo,condor,condor,-20.935,9.619
san_guillermo,condor,condor,-21.951,10.491
san_guillermo,condor,condor,-20.057,10.487
san_guillermo,condor,condor,-21.198,10.739
san_guillermo,condor,condor,-20.662,10.032
san_guillermo,condor,condor,-20.426,10.702
san_guillermo,condor,condor,-20.637,11.709
san_guillermo,condor,condor,-20.325,10.312
san_guillermo,condor,condor,-22.019,11.064
san_guillermo,condor,condor,-21.938,11.073
san_guillermo,condor,condor,-21.219,11.395
san_guillermo,condor,condor,-21.564,11.37
san_guillermo,condor,condor,-22.001,9.428
san_guillermo,condor,condor,-22.015,9.38
san_guillermo,condor,condor,-21.998,9.559
san_guillermo,condor,condor,-21.877,8.818
san_guillermo,condor,condor,-22.306,9.414
san_guillermo,condor,condor,-22.242,9.374
san_guillermo,condor,condor,-21.926,10.467
san_guillermo,condor,condor,-22.39,10.279
san_guillermo,Lagidium viscacia,terrestrial,-24.31,4.95
san_guillermo,Lagidium viscacia,terrestrial,-24.01,5.65
san_guillermo,Lagidium viscacia,terrestrial,-24.11,6.85
san_guillermo,Capra aegagrus,terrestrial,-23.278,3.235
san_guillermo,Capra aegagrus,terrestrial,-22.01,2.615
san_guillermo,Capra aegagrus,terrestrial,-24.991,3.914
san_guillermo,Capra aegagrus,terrestrial,-21.725,2.466
san_guillermo,Lama guanicoe,terrestrial,-22.71,3.55
san_guillermo,Lama guanicoe,terrestrial,-21.91,7.55
san_guillermo,Lama guanicoe,terrestrial,-18.873,6.612
san_guillermo,Lama guanicoe,terrestrial,-21.871,5.556
san_guillermo,Lama guanicoe,terrestrial,-23.165,4.515
san_guillermo,Lama guanicoe,terrestrial,-22.693,4.456
san_guillermo,Lama guanicoe,terrestrial,-22.742,6.53
san_guillermo,Bos taurus,terrestrial,-25.2,9.039
san_guillermo,Bos taurus,terrestrial,-25.283,9.038
san_guillermo,Bos taurus,terrestrial,-25.578,7.057
san_guillermo,Bos taurus,terrestrial,-25.104,9.125
san_guillermo,Bos taurus,terrestrial,-25.086,7.977
san_guillermo,Bos taurus,terrestrial,-24.892,9.841
san_guillermo,Bos taurus,terrestrial,-25.341,7.023
san_guillermo,Bos taurus,terrestrial,-25.294,10.223
san_guillermo,Bos taurus,terrestrial,-25.363,9.884
san_guillermo,Bos taurus,terrestrial,-24.775,7.233
san_guillermo,Vicugna vicugna,terrestrial,-21.777,6.376
san_guillermo,Vicugna vicugna,terrestrial,-23.554,9.911
san_guillermo,Vicugna vicugna,terrestrial,-21.566,4.795
san_guillermo,Vicugna vicugna,terrestrial,-20.954,4.991
san_guillermo,Vicugna vicugna,terrestrial,-22.318,6.361
san_guillermo,Vicugna vicugna,terrestrial,-21.396,6.2
san_guillermo,Vicugna vicugna,terrestrial,-23.172,9.181
