id,Location,d13C,d15N
2022.F.VG.IDLE.01,IDLE,-19.3,14.1
2022.F.VG.IDLE.02,IDLE,-17.5,13
2022.F.VG.IDLE.03,IDLE,-21.2,11.1
2022.F.VG.IDLE.04,IDLE,-21.2,12.2
2022.F.VG.IDLE.05,IDLE,-23.6,10.5
2022.F.VG.IDLE.06,IDLE,-23.2,8.9
VG IDLE 01,IDLE,-22.8,11.2
VG IDLE 02,IDLE,-16.6,17.8
VG MITRE 03,East,-24.6,9
VG MITRE 04,East,-23.8,10.3
VG MITRE 06,East,-22.4,11
VG MITRE 08,East,-22.8,11.6
VG MITRE 09,East,-23.8,8.8
VG MITRE 10,East,-23,11.6
VG MITRE 11,East,-23.6,9.8
VG MITRE 12,East,-24.4,10.2
VG MITRE 13,East,-18.6,15.8
VG MITRE 14,East,-24.3,9.2
VG MITRE 15,East,-23.5,10.3
VG MITRE 16,East,-25.1,8.9
VG MITRE 17,East,-25,10
VG MITRE 18,East,-15.7,18.6
VG VICTORA,West,-24.8,9.6
TF-K 2019 1,West,-20.6,13.7
TF-K 2019 2,West,-25,9.7
TF-K 2019 3,West,-25.1,8.9
TF-K 2019 4,West,-25.2,8.3
TF-K 2019 5,West,-25.3,10.4
TF-K 2019 6,West,-18.4,14.2
TF-K 2019 7,West,-24.4,9.9
TF-K 2019 8,West,-18,14.6
TF-K 2019 9,West,-18.7,13.9
TF-K 2019 10,West,-25.4,10.6
TF-K 2019 11,West,-25.6,8
TF-K 2019 12,West,-24.8,8.9
TF-K 2019 13,West,-23.1,10.7
TF-K 2019 14,West,-25.3,8.4
TF-K 2019 15,West,-25.8,9
TF-K 2019 16,West,-25.7,8.2
TF-K 2019 17,West,-24.6,8.7
TF-K 2019 18,West,-24.7,9.7
TF-K 2019 19,West,-17.6,17.1
TF-K 2019 20,West,-23.7,10.8
